FINISHED_PRODUCTDESC,COMPONENT_PRODUCTCODE,FINISHED_PRODUCTCODE,COMPONENT_PRODUCTDESC,BLEND_PERCENT
7922,1131,PCMO 20W40 SF                 ,LZ 7719                       ,0.002
7922,1198,PCMO 20W40 SF                 ,LZ 8900                       ,0.0425
7922,1202,PCMO 20W40 SF                 ,WP 1050 VM                    ,0.0315
7922,4305,PCMO 20W40 SF                 ,KENDEX 0150                   ,0.471
7922,4318,PCMO 20W40 SF                 ,ARGOLD LEGACY                 ,0.453
7925,1131,PCMO 5W30 SF                  ,LZ 7719                       ,0.0025
7925,1179,PCMO 5W30 SF                  ,LZ 4998                       ,0.08
7925,1202,PCMO 5W30 SF                  ,WP 1050 VM                    ,0.098
7925,1900,PCMO 5W30 SF                  ,PETROCAN GF-3                 ,0.1825
7925,4311,PCMO 5W30 SF                  ,KENDEX 0060                   ,0.2175
7925,4315,PCMO 5W30 SF                  ,KENDEX 0150H                  ,0.4195
7926,1131,SAE 5W30 SN CHEM/GPII BASE OIL,LZ 7719                       ,0.0015
7926,1161,SAE 5W30 SN CHEM/GPII BASE OIL,WP 7075F                      ,0.0743
7926,1900,SAE 5W30 SN CHEM/GPII BASE OIL,PETROCAN GF-3                 ,0.4364
7926,4311,SAE 5W30 SN CHEM/GPII BASE OIL,KENDEX 0060                   ,0.04125
7926,4315,SAE 5W30 SN CHEM/GPII BASE OIL,KENDEX 0150H                  ,0.18559
7926,4325,SAE 5W30 SN CHEM/GPII BASE OIL,KENDEX 165HTLV                ,0.17295
7926,4401,SAE 5W30 SN CHEM/GPII BASE OIL,ARG ANTI-FOAM                 ,0.00001
7928,1290,POWER FLOW ENGINE FLUSH       ,IPAC 689E                     ,0.01347
7928,1300,POWER FLOW ENGINE FLUSH       ,ARAMCOPRIMA 100               ,0.97938
7928,1318,POWER FLOW ENGINE FLUSH       ,IPAC 404                      ,0.00715
7930,1161,RISLONE CONC REAR MAIN SEAL RE,WP 7075F                      ,0.0561
7930,1285,RISLONE CONC REAR MAIN SEAL RE,HYPRENE L751                  ,0.9068
7930,1289,RISLONE CONC REAR MAIN SEAL RE,LUBRICIT DIDA-DF              ,0.0351
7930,5885,RISLONE CONC REAR MAIN SEAL RE,V-178                         ,0.002
7931,1131,RISLONE ENGINE TREATMENT      ,LZ 7719                       ,0.002
7931,1151,RISLONE ENGINE TREATMENT      ,LZ 6477C                      ,0.005
7931,1161,RISLONE ENGINE TREATMENT      ,WP 7075F                      ,0.06
7931,1179,RISLONE ENGINE TREATMENT      ,LZ 4998                       ,0.05
7931,1222,RISLONE ENGINE TREATMENT      ,N-BUTYL ACETATE               ,0.003
7931,2126,RISLONE ENGINE TREATMENT      ,ORCOSOLVE BLUE HF LIQUID      ,0.00006
7931,4118,RISLONE ENGINE TREATMENT      ,KENSOL 50H                    ,0.0895
7931,4315,RISLONE ENGINE TREATMENT      ,KENDEX 0150H                  ,0.79044
7933,1000,RISLONE 4405 ENGINE OIL SUPP  ,KETJENLUBE 135                ,0.00947
7933,1151,RISLONE 4405 ENGINE OIL SUPP  ,LZ 6477C                      ,0.00571
7933,1161,RISLONE 4405 ENGINE OIL SUPP  ,WP 7075F                      ,0.04629
7933,1290,RISLONE 4405 ENGINE OIL SUPP  ,IPAC 689E                     ,0.03565
7933,1330,RISLONE 4405 ENGINE OIL SUPP  ,IPAC 2114                     ,0.15412
7933,4315,RISLONE 4405 ENGINE OIL SUPP  ,KENDEX 0150H                  ,0.74876
7934,1222,RISLONE 4102 ENGINE TRMT CONCE,N-BUTYL ACETATE               ,0.00599
7934,2126,RISLONE 4102 ENGINE TRMT CONCE,ORCOSOLVE BLUE HF LIQUID      ,0.00011
7934,4409,RISLONE 4102 ENGINE TRMT CONCE,ENGINE TREATMENT PREMIX       ,0.9939
7935,1285,BARS STOP LEAK PRODUCT GROUP  ,HYPRENE L751                  ,0.56582
7935,1289,BARS STOP LEAK PRODUCT GROUP  ,LUBRICIT DIDA-DF              ,0.03432
7935,4305,BARS STOP LEAK PRODUCT GROUP  ,KENDEX 0150                   ,0.39986
7936,1009,BARS VALVE SEAL OIL CONSUMPTIO,VHVI 4                        ,0.1062
7936,1151,BARS VALVE SEAL OIL CONSUMPTIO,LZ 6477C                      ,0.00715
7936,1161,BARS VALVE SEAL OIL CONSUMPTIO,WP 7075F                      ,0.15385
7936,1179,BARS VALVE SEAL OIL CONSUMPTIO,LZ 4998                       ,0.084
7936,1222,BARS VALVE SEAL OIL CONSUMPTIO,N-BUTYL ACETATE               ,0.003
7936,1265,BARS VALVE SEAL OIL CONSUMPTIO,HITEC 082                     ,0.019
7936,1285,BARS VALVE SEAL OIL CONSUMPTIO,HYPRENE L751                  ,0.1935
7936,1289,BARS VALVE SEAL OIL CONSUMPTIO,LUBRICIT DIDA-DF              ,0.023
7936,4325,BARS VALVE SEAL OIL CONSUMPTIO,KENDEX 165HTLV                ,0.40515
7936,5885,BARS VALVE SEAL OIL CONSUMPTIO,V-178                         ,0.00515
7937,1285,BARS LEAKS ONE SEAL STOP LEAK ,HYPRENE L751                  ,0.51978
7937,1289,BARS LEAKS ONE SEAL STOP LEAK ,LUBRICIT DIDA-DF              ,0.04403
7937,4325,BARS LEAKS ONE SEAL STOP LEAK ,KENDEX 165HTLV                ,0.43619
7938,1161,BARS RISLONE TRANS STOP SLIP  ,WP 7075F                      ,0.15115
7938,1187,BARS RISLONE TRANS STOP SLIP  ,ARAMCOPRIMA 600               ,0.38589
7938,1236,BARS RISLONE TRANS STOP SLIP  ,ELCO 103                      ,0.00002
7938,1258,BARS RISLONE TRANS STOP SLIP  ,HITEC 3421                    ,0.07819
7938,1289,BARS RISLONE TRANS STOP SLIP  ,LUBRICIT DIDA-DF              ,0.01428
7938,1914,BARS RISLONE TRANS STOP SLIP  ,HF BRIGHT STOCK               ,0.36759
7938,2123,BARS RISLONE TRANS STOP SLIP  ,PPM RED BHF                   ,0.00035
7938,5885,BARS RISLONE TRANS STOP SLIP  ,V-178                         ,0.00253
7939,1009,BARS LEAKS MS-1               ,VHVI 4                        ,0.105
7939,1161,BARS LEAKS MS-1               ,WP 7075F                      ,0.13175
7939,1230,BARS LEAKS MS-1               ,LZ PV1122                     ,0.06995
7939,1261,BARS LEAKS MS-1               ,ALTRA SEAL SWELL              ,0.0048
7939,1264,BARS LEAKS MS-1               ,HITEC 008                     ,0.011
7939,1265,BARS LEAKS MS-1               ,HITEC 082                     ,0.00805
7939,1285,BARS LEAKS MS-1               ,HYPRENE L751                  ,0.1143
7939,4325,BARS LEAKS MS-1               ,KENDEX 165HTLV                ,0.5526
7939,5885,BARS LEAKS MS-1               ,V-178                         ,0.00255
7940,1193,ARGUARD ROLL GRIND FLUID      ,LARD OIL                      ,0.03502
7940,1245,ARGUARD ROLL GRIND FLUID      ,POLARTECH 5060                ,0.17512
7940,4305,ARGUARD ROLL GRIND FLUID      ,KENDEX 0150                   ,0.47937
7940,4329,ARGUARD ROLL GRIND FLUID      ,KENDEX 0060HT                 ,0.30039
7940,4401,ARGUARD ROLL GRIND FLUID      ,ARG ANTI-FOAM                 ,0.0001
7940,6633,ARGUARD ROLL GRIND FLUID      ,ANGLAMOL 33                   ,0.01
7941,1009,OS-1 BARS LEAKS OIL SEAL REPAR,VHVI 4                        ,0.10374
7941,1151,OS-1 BARS LEAKS OIL SEAL REPAR,LZ 6477C                      ,0.00554
7941,1161,OS-1 BARS LEAKS OIL SEAL REPAR,WP 7075F                      ,0.15962
7941,1179,OS-1 BARS LEAKS OIL SEAL REPAR,LZ 4998                       ,0.0698
7941,1222,OS-1 BARS LEAKS OIL SEAL REPAR,N-BUTYL ACETATE               ,0.003
7941,1265,OS-1 BARS LEAKS OIL SEAL REPAR,HITEC 082                     ,0.01837
7941,1279,OS-1 BARS LEAKS OIL SEAL REPAR,VTX-6                         ,0.40546
7941,1285,OS-1 BARS LEAKS OIL SEAL REPAR,HYPRENE L751                  ,0.19658
7941,1289,OS-1 BARS LEAKS OIL SEAL REPAR,LUBRICIT DIDA-DF              ,0.03175
7941,5885,OS-1 BARS LEAKS OIL SEAL REPAR,V-178                         ,0.00614
7942,1131,HYDRAULIC STOP LEAK & CONDTNR ,LZ 7719                       ,0.00189
7942,1161,HYDRAULIC STOP LEAK & CONDTNR ,WP 7075F                      ,0.05696
7942,1181,HYDRAULIC STOP LEAK & CONDTNR ,LZ 889D                       ,0.00018
7942,1279,HYDRAULIC STOP LEAK & CONDTNR ,VTX-6                         ,0.79182
7942,1285,HYDRAULIC STOP LEAK & CONDTNR ,HYPRENE L751                  ,0.09865
7942,1289,HYDRAULIC STOP LEAK & CONDTNR ,LUBRICIT DIDA-DF              ,0.04006
7942,5703,HYDRAULIC STOP LEAK & CONDTNR ,LZ 5703                       ,0.00843
7942,5885,HYDRAULIC STOP LEAK & CONDTNR ,V-178                         ,0.00201
7943,1161,BARS SUPER LEAK FIX           ,WP 7075F                      ,0.02048
7943,1265,BARS SUPER LEAK FIX           ,HITEC 082                     ,0.00429
7943,1279,BARS SUPER LEAK FIX           ,VTX-6                         ,0.50305
7943,1285,BARS SUPER LEAK FIX           ,HYPRENE L751                  ,0.44804
7943,1289,BARS SUPER LEAK FIX           ,LUBRICIT DIDA-DF              ,0.02414
7944,1149,BARS PWR STRNG FLUID STOP LEAK,PD-610                        ,0.00293
7944,1289,BARS PWR STRNG FLUID STOP LEAK,LUBRICIT DIDA-DF              ,0.03354
7944,1290,BARS PWR STRNG FLUID STOP LEAK,IPAC 689E                     ,0.049
7944,4305,BARS PWR STRNG FLUID STOP LEAK,KENDEX 0150                   ,0.85764
7944,4318,BARS PWR STRNG FLUID STOP LEAK,ARGOLD LEGACY                 ,0.05689
7945,1285,JACK OIL WITH STOP LEAK       ,HYPRENE L751                  ,0.02789
7945,1289,JACK OIL WITH STOP LEAK       ,LUBRICIT DIDA-DF              ,0.00467
7945,1354,JACK OIL WITH STOP LEAK       ,FUNCTIONAL PD-620             ,0.00095
7945,4305,JACK OIL WITH STOP LEAK       ,KENDEX 0150                   ,0.22046
7945,4329,JACK OIL WITH STOP LEAK       ,KENDEX 0060HT                 ,0.74436
7945,5703,JACK OIL WITH STOP LEAK       ,LZ 5703                       ,0.00167
7946,1225,RISLONE PWR STERING STOP WHINE,PAR 8010                      ,0.07223
7946,1236,RISLONE PWR STERING STOP WHINE,ELCO 103                      ,0.00002
7946,1258,RISLONE PWR STERING STOP WHINE,HITEC 3421                    ,0.05852
7946,1289,RISLONE PWR STERING STOP WHINE,LUBRICIT DIDA-DF              ,0.01168
7946,2123,RISLONE PWR STERING STOP WHINE,PPM RED BHF                   ,0.00036
7946,4319,RISLONE PWR STERING STOP WHINE,ARGOLD                        ,0.85512
7946,5885,RISLONE PWR STERING STOP WHINE,V-178                         ,0.00207
7947,1293,BARS RISLONE WATER            ,ADDCO CP-OB-5                 ,0.00255
7947,1294,BARS RISLONE WATER            ,SOLUBLE BASE GT 1580VS        ,0.02948
7947,4313,BARS RISLONE WATER            ,KENDEX 0842                   ,0.00279
7947,4318,BARS RISLONE WATER            ,ARGOLD LEGACY                 ,0.03334
7947,4329,BARS RISLONE WATER            ,KENDEX 0060HT                 ,0.93184
7948,1285,BARS LEAKS GEAR REPAIR        ,HYPRENE L751                  ,0.14802
7948,1289,BARS LEAKS GEAR REPAIR        ,LUBRICIT DIDA-DF              ,0.01487
7948,1292,BARS LEAKS GEAR REPAIR        ,OLOA 30005                    ,0.02909
7948,1314,BARS LEAKS GEAR REPAIR        ,LZ 5069                       ,0.01296
7948,1365,BARS LEAKS GEAR REPAIR        ,FUNCTIONAL MG-1000            ,0.09751
7948,4305,BARS LEAKS GEAR REPAIR        ,KENDEX 0150                   ,0.07411
7948,4318,BARS LEAKS GEAR REPAIR        ,ARGOLD LEGACY                 ,0.59426
7948,4401,BARS LEAKS GEAR REPAIR        ,ARG ANTI-FOAM                 ,0.0011
7948,5530,BARS LEAKS GEAR REPAIR        ,LUBRIZOL 7749B-CHEMGUARD 637  ,0.00199
7948,5674,BARS LEAKS GEAR REPAIR        ,STURACO 7097K                 ,0.01976
7948,5885,BARS LEAKS GEAR REPAIR        ,V-178                         ,0.00633
7949,1161,RISLONE HY-PER LUBE OIL HPL201,WP 7075F                      ,0.45351
7949,1181,RISLONE HY-PER LUBE OIL HPL201,LZ 889D                       ,0.00092
7949,1203,RISLONE HY-PER LUBE OIL HPL201,LZ 5150C                      ,0.00209
7949,1285,RISLONE HY-PER LUBE OIL HPL201,HYPRENE L751                  ,0.09486
7949,1289,RISLONE HY-PER LUBE OIL HPL201,LUBRICIT DIDA-DF              ,0.02858
7949,4305,RISLONE HY-PER LUBE OIL HPL201,KENDEX 0150                   ,0.40484
7949,5885,RISLONE HY-PER LUBE OIL HPL201,V-178                         ,0.0152
7957,1289,BARS CVT TRANSMISSION FIX     ,LUBRICIT DIDA-DF              ,0.0217
7957,1362,BARS CVT TRANSMISSION FIX     ,HITEC 3435A                   ,0.22229
7957,1363,BARS CVT TRANSMISSION FIX     ,HITEC 3488                    ,0.05805
7957,1364,BARS CVT TRANSMISSION FIX     ,HITEC 3403A                   ,0.03435
7957,4305,BARS CVT TRANSMISSION FIX     ,KENDEX 0150                   ,0.66361
7958,1289,BARS TRANS FIX                ,LUBRICIT DIDA-DF              ,0.0217
7958,1362,BARS TRANS FIX                ,HITEC 3435A                   ,0.22229
7958,1363,BARS TRANS FIX                ,HITEC 3488                    ,0.05805
7958,1364,BARS TRANS FIX                ,HITEC 3403A                   ,0.03435
7958,4305,BARS TRANS FIX                ,KENDEX 0150                   ,0.66361
8098,1131,ENGINE OIL SAE 15W40 (CK-4)   ,LZ 7719                       ,0.0029
8098,1187,ENGINE OIL SAE 15W40 (CK-4)   ,ARAMCOPRIMA 600               ,0.28047
8098,1242,ENGINE OIL SAE 15W40 (CK-4)   ,OLOA 59096                    ,0.1395
8098,1263,ENGINE OIL SAE 15W40 (CK-4)   ,PARATONE 24EX                 ,0.067
8098,4325,ENGINE OIL SAE 15W40 (CK-4)   ,KENDEX 165HTLV                ,0.51
8104,8103,#2 DIESEL S-5000 DYED         ,#2 ONROAD DIESEL S-500 UNDYED ,1
8580,8510,CA2157 CASTROL SYNTEC PREMIX  ,YU6 YU-BASE 150N              ,0.982
8580,8570,CA2157 CASTROL SYNTEC PREMIX  ,CA1950 FRICTION MODIFIER      ,0.018
9000,1186,NOCO RUST STOP 293            ,LZ ALOX 165                   ,0.086
9000,4111,NOCO RUST STOP 293            ,KENSOL 30                     ,0.143
9000,4115,NOCO RUST STOP 293            ,KENSOL 48H                    ,0.771
9001,1011,ARGUARD RP 150 RUSTPROOF OIL  ,METHYL SALICYLATE             ,0.0039
9001,1012,ARGUARD RP 150 RUSTPROOF OIL  ,FUNCTIONAL V-162 ANTI-MIST ADD,0.001
9001,1182,ARGUARD RP 150 RUSTPROOF OIL  ,LZ ALOX 2296                  ,0.051
9001,4111,ARGUARD RP 150 RUSTPROOF OIL  ,KENSOL 30                     ,0.6611
9001,4115,ARGUARD RP 150 RUSTPROOF OIL  ,KENSOL 48H                    ,0.2
9001,4315,ARGUARD RP 150 RUSTPROOF OIL  ,KENDEX 0150H                  ,0.083
9002,1012,SE RUSTPROOFING OIL           ,FUNCTIONAL V-162 ANTI-MIST ADD,0.00093
9002,1182,SE RUSTPROOFING OIL           ,LZ ALOX 2296                  ,0.04965
9002,4111,SE RUSTPROOFING OIL           ,KENSOL 30                     ,0.66022
9002,4115,SE RUSTPROOFING OIL           ,KENSOL 48H                    ,0.2005
9002,4315,SE RUSTPROOFING OIL           ,KENDEX 0150H                  ,0.0887
9003,1012,ARGUARD RP 150HF RUST PROOFOIL,FUNCTIONAL V-162 ANTI-MIST ADD,0.00094
9003,1182,ARGUARD RP 150HF RUST PROOFOIL,LZ ALOX 2296                  ,0.05038
9003,4115,ARGUARD RP 150HF RUST PROOFOIL,KENSOL 48H                    ,0.86014
9003,4315,ARGUARD RP 150HF RUST PROOFOIL,KENDEX 0150H                  ,0.08854
