id,Product_Code,Product_Description,ClassCode,Division
,7754,DRIVEN SYN 75W-90 RCNG GEAROIL,GEAR OIL-HYPOID GL-5          ,BlendedLubes
,7755,DRIVEN SYN 75W-140 RACING GO  ,GEAR OIL-HYPOID GL-5          ,BlendedLubes
,1364,HITEC 3403A                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,7435,BP-CASTROL TRANSMAX CVT       ,RESALE-BLENDED LUBES          ,BlendedLubes
,4103,KENSOL 30H                    ,KENSOL NAPHTHAS               ,Refinery
,7555,ARGUARD FULL SYN ENG OIL 0W-16,RESALE-BLENDED LUBES          ,BlendedLubes
,7554,ARGUARD FULL SYN EURO 5W-40   ,RESALE-BLENDED LUBES          ,BlendedLubes
,7957,BARS CVT TRANSMISSION FIX     ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,7958,BARS TRANS FIX                ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,7223,ARGUARD SYN HDDEO 10W-30      ,MOTOR OIL-MULTI GRADE DIESEL  ,BlendedLubes
,7224,ARGUARD SYN HDDEO 15W-40      ,MOTOR OIL-MULTI GRADE DIESEL  ,BlendedLubes
,7079,DI40 SYN 5W-40 PERFORMANCE MO ,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7072,KRT SYN 0W-20 RACING MOTOR OIL,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7756,ROLLING OIL 75                ,GEAR OIL-SPECIALTY            ,BlendedLubes
,7073,DRIVEN CRATE OIL 10W-30       ,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7074,DRIVEN CRATE OIL 10W-40       ,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
,7798,ARGGUARD SAW GUIDE OIL 22     ,GEAR OIL-SPECIALTY            ,BlendedLubes
,9137,CAT CRACKER FEED (CCF)        ,IN PROCESS-REF                ,Refinery
,1104,B99 BIODIESEL                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1366,FUNCTIONAL SGP-567            ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1365,FUNCTIONAL MG-1000            ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1367,SYN-ESTER SE-115              ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,7075,HONING OIL 10                 ,MOTOR OIL-HIGH PERFORMANCE    ,BlendedLubes
